OBJECTID,FIPS,Tract_Name,Tract_FIPS,County,Population_Total,Population_Density_PerLandSquareMile,Disability_Population_Total_Civilian_Noninstitutionalized,Disability_Population_Total_Under18_Civilian_Noninstitutionalize,Disability_TCNPop_With_A_Disability,Percent_Disability_TCNPop_With_A_Disability,Disability_Population_TCNPop_Age_Under_5,Disability_TCNPop_AgeUnder5_With_A_Disability,Percent_Disability_TCNPop_AgeUnder5_With_A_Disability,Disability_Population_TCNPop_Age5to17,Disability_TCNPop_Age5to17_With_A_Disability,Percent_Disability_TCNPop_Age5to17_With_A_Disability,Disability_Population_TCNPop_Age0to17,Disability_TCNPopAge0to17_With_A_Disability,Percent_Disability_TCNPop_Age0to17_With_A_Disability,Disability_TCNPop_With_A_Hearing_Difficulty,Percent_Disability_TCNPop_With_A_Hearing_Difficulty,Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Hearing_Difficulty_Under18,Disability_TCNPop_With_A_Vision_Difficulty,Percent_Disability_TCNPop_With_A_Vision_Difficulty,Disability_TCNPop_With_A_Vision_Difficulty_Under18,Percent_Disability_TCNPop_With_A_Vision_Difficulty_Under18,Disability_Population_TCNPop_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Cognitive_Difficulty_Age517,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age_Over,Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Percent_Disability_TCNPop_With_An_Ambulatory_Difficulty_Age517,Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age_Over_4,Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Percent_Disability_TCNPop_With_A_Self_Care_Difficulty_Age517,Disability_Population_TCNPop_Age_Over_17,Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty,Percent_Disability_TCNPop_AgeOver17_With_An_IndLiving_Difficulty
298,08069001004,"Census Tract 10.04, Larimer County, Colorado",08069001004,LARIMER,3363,4736.6,3354,737,404,12,210,0,0,527,21,4,737,18,2.7,155,4.6,0,0,78,2.3,11,1.5,3144,109,3.5,10,1.9,155,4.9,0,0,36,1.1,0,0,2617,119,4.5
299,08069001003,"Census Tract 10.03, Larimer County, Colorado",08069001003,LARIMER,5069,4332.5,5069,979,552,10.9,316,20,6.3,663,57,8.6,979,58,5.8,129,2.5,20,2,115,2.3,57,5.8,4753,92,1.9,0,0,284,6,0,0,42,0.9,0,0,4090,230,5.6
300,08069000902,"Census Tract 9.02, Larimer County, Colorado",08069000902,LARIMER,3667,4889.3,3667,674,416,11.3,94,0,0,580,29,5,674,26,4.3,188,5.1,0,0,85,2.3,15,2.2,3573,120,3.4,14,2.4,134,3.8,14,2.4,71,2,14,2.4,2993,87,2.9
301,08069001603,"Census Tract 16.03, Larimer County, Colorado",08069001603,LARIMER,5807,4683.1,5807,1622,399,6.9,350,0,0,1272,16,1.3,1622,13,0.9,144,2.5,0,0,35,0.6,0,0,5457,125,2.3,7,0.6,217,4,9,0.7,81,1.5,0,0,4185,190,4.5
302,08069000901,"Census Tract 9.01, Larimer County, Colorado",08069000901,LARIMER,5435,4767.5,5322,693,603,11.3,238,0,0,455,0,0,693,0,0,262,4.9,0,0,58,1.1,0,0,5084,139,2.7,0,0,256,5,0,0,45,0.9,0,0,4629,140,3
303,08069001304,"Census Tract 13.04, Larimer County, Colorado",08069001304,LARIMER,2655,1770,2655,852,486,18.3,171,0,0,681,27,4,852,58,6.8,204,7.7,27,3.2,34,1.3,0,0,2484,135,5.4,27,4,277,11.2,0,0,69,2.8,0,0,1803,126,7
304,08069000700,"Census Tract 7, Larimer County, Colorado",08069000700,LARIMER,3009,5900,2984,439,149,5,144,0,0,295,8,2.7,439,0,0,14,0.5,0,0,8,0.3,0,0,2840,83,2.9,8,2.7,44,1.5,0,0,0,0,0,0,2545,0,0
305,08001009316,"Census Tract 93.16, Adams County, Colorado",08001009316,ADAMS,7337,8433.3,7337,2115,1152,15.7,536,0,0,1579,141,8.9,2115,188,9.6,233,3.2,0,0,315,4.3,46,2.2,6801,370,5.4,113,7.2,769,11.3,15,0.9,208,3.1,33,2.1,5222,386,7.4
306,08001009603,"Census Tract 96.03, Adams County, Colorado",08001009603,ADAMS,6395,7613.1,6295,1886,827,13.1,507,0,0,1379,108,7.8,1886,94,5.5,210,3.3,0,0,141,2.2,0,0,5788,339,5.9,93,6.7,380,6.6,0,0,73,1.3,0,0,4409,152,3.4
307,08001009321,"Census Tract 93.21, Adams County, Colorado",08001009321,ADAMS,3818,7486.3,3818,1022,417,10.9,210,0,0,812,53,6.5,1022,63,6.2,137,3.6,15,1.5,50,1.3,0,0,3608,175,4.9,53,6.5,160,4.4,11,1.4,16,0.4,11,1.4,2796,151,5.4
308,08001009407,"Census Tract 94.07, Adams County, Colorado",08001009407,ADAMS,5357,7338.4,5334,1438,553,10.4,378,4,1.1,1060,52,4.9,1438,19,1.4,110,2.1,4,0.3,79,1.5,7,0.5,4956,182,3.7,14,1.3,254,5.1,7,0.7,169,3.4,37,3.5,3896,250,6.4
309,08001009323,"Census Tract 93.23, Adams County, Colorado",08001009323,ADAMS,3923,4843.2,3923,989,465,11.9,348,0,0,641,72,11.2,989,60,6.1,110,2.8,42,4.2,82,2.1,0,0,3575,161,4.5,43,6.7,246,6.9,10,1.6,34,1,0,0,2934,73,2.5
310,08001009411,"Census Tract 94.11, Adams County, Colorado",08001009411,ADAMS,3029,6058,3029,607,221,7.3,216,0,0,391,22,5.6,607,45,7.1,61,2,0,0,28,0.9,12,2,2813,86,3.1,10,2.6,81,2.9,0,0,20,0.7,0,0,2422,58,2.4
311,08001009307,"Census Tract 93.07, Adams County, Colorado",08001009307,ADAMS,3830,5550.7,3830,1055,535,14,403,0,0,652,41,6.3,1055,40,3.7,168,4.4,0,0,90,2.3,0,0,3427,268,7.8,41,6.3,275,8,0,0,51,1.5,0,0,2775,144,5.2
312,08069000600,"Census Tract 6, Larimer County, Colorado",08069000600,LARIMER,6560,8631.6,6560,127,493,7.5,17,0,0,110,0,0,127,0,0,47,0.7,0,0,48,0.7,0,0,6543,390,6,0,0,20,0.3,0,0,34,0.5,0,0,6433,57,0.9
313,08069001009,"Census Tract 10.09, Larimer County, Colorado",08069001009,LARIMER,6095,2335.2,6079,1482,702,11.5,524,0,0,958,31,3.2,1482,27,1.9,300,4.9,22,1.5,125,2.1,0,0,5555,223,4,9,0.9,352,6.3,0,0,163,2.9,0,0,4597,221,4.8
314,08069000100,"Census Tract 1, Larimer County, Colorado",08069000100,LARIMER,2562,3509.6,2562,120,280,10.9,35,0,0,85,0,0,120,0,0,84,3.3,0,0,40,1.6,0,0,2527,107,4.2,0,0,152,6,0,0,52,2.1,0,0,2442,113,4.6
315,08069002300,"Census Tract 23, Larimer County, Colorado",08069002300,LARIMER,3246,83.1,3246,558,277,8.5,169,0,0,389,14,3.6,558,34,5.1,160,4.9,14,2.5,20,0.6,0,0,3077,107,3.5,0,0,60,1.9,0,0,63,2,14,3.6,2688,98,3.6
316,08069001602,"Census Tract 16.02, Larimer County, Colorado",08069001602,LARIMER,5122,4164.2,5122,1258,456,8.9,370,0,0,888,26,2.9,1258,19,1.7,129,2.5,0,0,58,1.1,12,1,4752,203,4.3,14,1.6,233,4.9,12,1.4,21,0.4,12,1.4,3864,144,3.7
317,08069001306,"Census Tract 13.06, Larimer County, Colorado",08069001306,LARIMER,2559,710.8,2538,639,313,12.3,303,0,0,336,12,3.6,639,13,2.3,113,4.5,0,0,102,4,0,0,2235,78,3.5,12,3.6,112,5,0,0,64,2.9,0,0,1899,71,3.7
318,08069001305,"Census Tract 13.05, Larimer County, Colorado",08069001305,LARIMER,2427,2206.4,2427,498,175,7.2,180,0,0,318,0,0,498,0,0,69,2.8,0,0,22,0.9,0,0,2247,81,3.6,0,0,107,4.8,0,0,17,0.8,0,0,1929,56,2.9
319,08059010209,"Census Tract 102.09, Jefferson County, Colorado",08059010209,JEFFERSON,6362,6426.3,6362,1469,584,9.2,498,0,0,971,17,1.8,1469,14,0.8,162,2.5,0,0,148,2.3,9,0.6,5864,204,3.5,0,0,272,4.6,0,0,120,2,8,0.8,4893,170,3.5
320,08059010305,"Census Tract 103.05, Jefferson County, Colorado",08059010305,JEFFERSON,3894,6084.4,3875,822,478,12.3,198,0,0,624,43,6.9,822,24,2.9,181,4.7,20,2.4,63,1.6,9,1.1,3677,150,4.1,27,4.3,274,7.5,0,0,92,2.5,13,2.1,3053,177,5.8
321,08059009832,"Census Tract 98.32, Jefferson County, Colorado",08059009832,JEFFERSON,2821,5531.4,2810,545,279,9.9,168,0,0,377,6,1.6,545,7,1.4,89,3.2,0,0,48,1.7,0,0,2642,71,2.7,6,1.6,142,5.4,0,0,48,1.8,0,0,2265,85,3.8
322,08059009833,"Census Tract 98.33, Jefferson County, Colorado",08059009833,JEFFERSON,6003,6125.5,6003,1388,654,10.9,477,0,0,911,0,0,1388,0,0,184,3.1,0,0,218,3.6,0,0,5526,238,4.3,0,0,316,5.7,0,0,93,1.7,0,0,4615,157,3.4
323,08059009834,"Census Tract 98.34, Jefferson County, Colorado",08059009834,JEFFERSON,4518,6363.4,4518,860,505,11.2,289,0,0,571,35,6.1,860,32,3.7,195,4.3,0,0,79,1.7,0,0,4229,162,3.8,35,6.1,189,4.5,0,0,70,1.7,0,0,3658,112,3.1
324,08059009831,"Census Tract 98.31, Jefferson County, Colorado",08059009831,JEFFERSON,2548,3588.7,2548,299,260,10.2,130,0,0,169,10,5.9,299,9,3.5,56,2.2,0,0,30,1.2,0,0,2418,124,5.1,10,5.9,71,2.9,0,0,11,0.5,0,0,2249,50,2.2
325,08059010210,"Census Tract 102.10, Jefferson County, Colorado",08059010210,JEFFERSON,3738,3461.1,3720,711,399,10.7,195,0,0,516,20,3.9,711,18,3.1,132,3.5,0,0,131,3.5,20,2.8,3525,71,2,0,0,218,6.2,0,0,69,2,0,0,3009,179,5.9
326,08059010206,"Census Tract 102.06, Jefferson County, Colorado",08059010206,JEFFERSON,4147,3317.6,4147,896,487,11.7,316,0,0,580,33,5.7,896,31,3.5,189,4.6,0,0,121,2.9,8,0.9,3831,194,5.1,25,4.3,256,6.7,0,0,126,3.3,0,0,3251,178,5.5
327,08059009835,"Census Tract 98.35, Jefferson County, Colorado",08059009835,JEFFERSON,3850,5347.2,3850,744,390,10.1,137,0,0,607,10,1.6,744,9,1.3,193,5,0,0,63,1.6,0,0,3713,185,5,10,1.6,108,2.9,0,0,45,1.2,0,0,3106,76,2.4
328,08059009828,"Census Tract 98.28, Jefferson County, Colorado",08059009828,JEFFERSON,5563,3476.9,5518,1209,573,10.4,179,0,0,1030,10,1,1209,15,1.3,368,6.7,10,0.8,34,0.6,0,0,5339,192,3.6,0,0,199,3.7,0,0,100,1.9,0,0,4309,183,4.2
329,08059010205,"Census Tract 102.05, Jefferson County, Colorado",08059010205,JEFFERSON,2434,2863.5,2434,483,361,14.8,69,0,0,414,19,4.6,483,20,4.1,156,6.4,0,0,20,0.8,9,1.9,2365,141,6,14,3.4,182,7.7,0,0,44,1.9,0,0,1951,134,6.9
330,08059010303,"Census Tract 103.03, Jefferson County, Colorado",08059010303,JEFFERSON,5447,4616.1,5447,1112,796,14.6,203,0,0,909,55,6.1,1112,65,5.8,201,3.7,0,0,79,1.5,0,0,5244,267,5.1,36,4,457,8.7,18,2,159,3,18,2,4335,335,7.7
331,08087000600,"Census Tract 6, Morgan County, Colorado",08087000600,MORGAN,6112,54.3,6098,1859,528,8.7,328,0,0,1531,19,1.2,1859,10,0.5,275,4.5,0,0,124,2,0,0,5770,116,2,19,1.2,203,3.5,0,0,28,0.5,0,0,4239,46,1.1
332,08087000200,"Census Tract 2, Morgan County, Colorado",08087000200,MORGAN,2893,10,2893,676,393,13.6,201,0,0,475,5,1.1,676,4,0.5,131,4.5,5,0.7,33,1.1,0,0,2692,118,4.4,0,0,248,9.2,0,0,76,2.8,0,0,2217,124,5.6
333,08087000100,"Census Tract 1, Morgan County, Colorado",08087000100,MORGAN,2862,5.6,2862,727,309,10.8,148,4,2.7,579,19,3.3,727,16,2.2,96,3.4,15,2.1,57,2,3,0.4,2714,89,3.3,5,0.9,145,5.3,0,0,61,2.2,0,0,2135,103,4.8
334,08087000500,"Census Tract 5, Morgan County, Colorado",08087000500,MORGAN,2268,1655.5,2155,467,234,10.9,100,0,0,367,7,1.9,467,0,0,70,3.2,0,0,15,0.7,4,0.9,2055,98,4.8,3,0.8,118,5.7,0,0,43,2.1,0,0,1688,54,3.2
335,08087000800,"Census Tract 8, Morgan County, Colorado",08087000800,MORGAN,1702,5,1702,277,267,15.7,97,0,0,180,11,6.1,277,19,5.7,120,7.1,0,0,80,4.7,0,0,1605,91,5.7,11,6.1,117,7.3,0,0,44,2.7,4,2.2,1425,97,6.8
336,08087000400,"Census Tract 4, Morgan County, Colorado",08087000400,MORGAN,4160,3250,4093,1066,597,14.6,270,0,0,796,9,1.1,1066,9,0.8,188,4.6,0,0,197,4.8,9,0.8,3823,93,2.4,0,0,293,7.7,0,0,83,2.2,0,0,3027,134,4.4
337,08087000300,"Census Tract 3, Morgan County, Colorado",08087000300,MORGAN,2099,132.2,2093,413,280,13.4,85,0,0,328,46,14,413,34,7.4,134,6.4,23,5.6,80,3.8,26,6.3,2008,117,5.8,34,10.4,122,6.1,0,0,27,1.3,0,0,1680,60,3.6
338,08087000700,"Census Tract 7, Morgan County, Colorado",08087000700,MORGAN,6027,569.1,5868,1941,649,11.1,809,0,0,1132,36,3.2,1941,35,1.8,221,3.8,0,0,125,2.1,0,0,5059,251,5,36,3.2,311,6.1,0,0,138,2.7,0,0,3927,174,4.4
339,08059009830,"Census Tract 98.30, Jefferson County, Colorado",08059009830,JEFFERSON,2285,6720.6,2285,429,218,9.5,108,4,3.7,321,18,5.6,429,17,4.2,101,4.4,0,0,60,2.6,11,2.6,2177,69,3.2,11,3.4,68,3.1,0,0,11,0.5,0,0,1856,56,3
340,08059009829,"Census Tract 98.29, Jefferson County, Colorado",08059009829,JEFFERSON,1925,1492.2,1925,480,146,7.6,119,0,0,361,0,0,480,0,0,71,3.7,0,0,25,1.3,0,0,1806,84,4.7,0,0,80,4.4,0,0,31,1.7,0,0,1445,34,2.4
341,08059010212,"Census Tract 102.12, Jefferson County, Colorado",08059010212,JEFFERSON,4283,4923,4283,848,442,10.3,224,0,0,624,21,3.4,848,32,3.9,161,3.8,0,0,80,1.9,0,0,4059,154,3.8,14,2.2,181,4.5,0,0,89,2.2,6,1,3435,127,3.7
342,08059009824,"Census Tract 98.24, Jefferson County, Colorado",08059009824,JEFFERSON,4918,4869.3,4918,1148,557,11.3,253,0,0,895,47,5.3,1148,33,2.7,113,2.3,0,0,140,2.8,13,1.1,4665,219,4.7,34,3.8,258,5.5,6,0.7,55,1.2,0,0,3770,197,5.2
343,08059009823,"Census Tract 98.23, Jefferson County, Colorado",08059009823,JEFFERSON,4864,7049.3,4864,1167,379,7.8,345,0,0,822,32,3.9,1167,39,3.3,149,3.1,0,0,71,1.5,0,0,4519,110,2.4,32,3.9,180,4,12,1.5,70,1.5,0,0,3697,103,2.8
344,08059010208,"Census Tract 102.08, Jefferson County, Colorado",08059010208,JEFFERSON,6090,5295.7,6085,1373,446,7.3,400,0,0,973,17,1.7,1373,15,1.2,162,2.7,0,0,54,0.9,0,0,5685,198,3.5,17,1.7,218,3.8,0,0,64,1.1,0,0,4712,232,4.9
345,08059010213,"Census Tract 102.13, Jefferson County, Colorado",08059010213,JEFFERSON,5043,4757.5,4995,1094,505,10.1,320,0,0,774,32,4.1,1094,54,5,101,2,0,0,50,1,0,0,4675,155,3.3,32,4.1,279,6,0,0,101,2.2,13,1.7,3901,155,4
346,08059010304,"Census Tract 103.04, Jefferson County, Colorado",08059010304,JEFFERSON,2814,5411.5,2805,550,394,14,221,0,0,329,15,4.6,550,0,0,153,5.5,15,2.7,78,2.8,0,0,2584,97,3.8,0,0,188,7.3,0,0,76,2.9,0,0,2255,137,6.1
347,08059009839,"Census Tract 98.39, Jefferson County, Colorado",08059009839,JEFFERSON,2356,3365.7,2356,547,197,8.4,141,0,0,406,5,1.2,547,8,1.3,82,3.5,0,0,27,1.1,0,0,2215,70,3.2,5,1.2,54,2.4,0,0,5,0.2,0,0,1809,51,2.8
348,08059060300,"Census Tract 603, Jefferson County, Colorado",08059060300,JEFFERSON,4595,6381.9,4595,1093,312,6.8,290,0,0,803,0,0,1093,14,1.3,136,3,0,0,19,0.4,0,0,4305,93,2.2,0,0,154,3.6,0,0,43,1,0,0,3502,87,2.5
349,08059060500,"Census Tract 605, Jefferson County, Colorado",08059060500,JEFFERSON,5699,250,5581,1608,329,5.9,500,0,0,1108,75,6.8,1608,60,3.9,101,1.8,9,0.6,46,0.8,18,1.1,5081,111,2.2,39,3.5,89,1.8,0,0,48,0.9,28,2.5,3973,37,0.9
350,08059060400,"Census Tract 604, Jefferson County, Colorado",08059060400,JEFFERSON,3562,1763.4,3562,826,284,8,173,0,0,653,22,3.4,826,22,2.7,51,1.4,0,0,61,1.7,22,2.7,3389,100,3,10,1.5,128,3.8,0,0,26,0.8,0,0,2736,81,3
351,08059009851,"Census Tract 98.51, Jefferson County, Colorado",08059009851,JEFFERSON,3810,2801.5,3810,925,396,10.4,206,0,0,719,41,5.7,925,49,5.3,164,4.3,0,0,52,1.4,0,0,3604,129,3.6,41,5.7,183,5.1,0,0,61,1.7,0,0,2885,115,4
352,08059009837,"Census Tract 98.37, Jefferson County, Colorado",08059009837,JEFFERSON,3937,467,3937,934,251,6.4,380,24,6.3,554,19,3.4,934,0,0,153,3.9,24,2.6,40,1,10,1.1,3557,54,1.5,19,3.4,97,2.7,0,0,18,0.5,0,0,3003,48,1.6
353,08059009838,"Census Tract 98.38, Jefferson County, Colorado",08059009838,JEFFERSON,5999,3549.7,5999,1668,314,5.2,419,0,0,1249,0,0,1668,18,1.2,130,2.2,0,0,46,0.8,0,0,5580,97,1.7,0,0,155,2.8,0,0,85,1.5,0,0,4331,141,3.3
354,08059009827,"Census Tract 98.27, Jefferson County, Colorado",08059009827,JEFFERSON,6215,3677.5,6215,1409,669,10.8,392,48,12.2,1017,36,3.5,1409,87,5.7,196,3.2,48,3.4,51,0.8,48,3.4,5823,306,5.3,36,3.5,306,5.3,0,0,86,1.5,0,0,4806,280,5.8
355,08059009815,"Census Tract 98.15, Jefferson County, Colorado",08059009815,JEFFERSON,5249,2487.7,5249,1192,534,10.2,230,0,0,962,41,4.3,1192,18,1.4,260,5,0,0,37,0.7,11,0.9,5019,132,2.6,20,2.1,179,3.6,0,0,77,1.5,11,1.1,4057,139,3.4
356,08059009808,"Census Tract 98.08, Jefferson County, Colorado",08059009808,JEFFERSON,5720,55,5720,963,384,6.7,202,0,0,761,0,0,963,0,0,170,3,0,0,60,1,0,0,5518,132,2.4,0,0,116,2.1,0,0,30,0.5,0,0,4757,114,2.4
357,08059009840,"Census Tract 98.40, Jefferson County, Colorado",08059009840,JEFFERSON,4047,5468.9,3964,873,514,13,171,0,0,702,27,3.8,873,40,5,151,3.8,0,0,69,1.7,0,0,3793,202,5.3,15,2.1,297,7.8,0,0,124,3.3,12,1.7,3091,199,6.4
358,08059009836,"Census Tract 98.36, Jefferson County, Colorado",08059009836,JEFFERSON,4057,1704.6,4057,830,486,12,177,0,0,653,32,4.9,830,24,2.8,216,5.3,7,0.8,28,0.7,0,0,3880,177,4.6,25,3.8,195,5,0,0,33,0.9,0,0,3227,116,3.6
359,08115968300,"Census Tract 9683, Sedgwick County, Colorado",08115968300,SEDGWICK,2357,4.3,2327,517,370,15.9,169,2,1.2,348,14,4,517,18,3.8,147,6.3,5,1,61,2.6,0,0,2158,100,4.6,6,1.7,199,9.2,0,0,68,3.2,0,0,1810,95,5.2
360,08059010211,"Census Tract 102.11, Jefferson County, Colorado",08059010211,JEFFERSON,3514,5020,3378,763,389,11.5,280,0,0,483,0,0,763,0,0,130,3.8,0,0,61,1.8,0,0,3098,92,3,0,0,259,8.4,0,0,53,1.7,0,0,2615,148,5.7
361,08059010307,"Census Tract 103.07, Jefferson County, Colorado",08059010307,JEFFERSON,5041,8843.9,5041,1010,775,15.4,368,0,0,642,38,5.9,1010,44,4,195,3.9,0,0,156,3.1,0,0,4673,293,6.3,38,5.9,447,9.6,19,3,112,2.4,7,1.1,4031,227,5.6
362,08059010306,"Census Tract 103.06, Jefferson County, Colorado",08059010306,JEFFERSON,2937,5152.6,2932,518,456,15.6,203,0,0,315,9,2.9,518,16,3.2,93,3.2,0,0,32,1.1,9,1.7,2729,162,5.9,0,0,160,5.9,0,0,52,1.9,0,0,2414,126,5.2
363,08059009841,"Census Tract 98.41, Jefferson County, Colorado",08059009841,JEFFERSON,2356,4712,2356,409,190,8.1,135,0,0,274,25,9.1,409,44,9.1,68,2.9,0,0,16,0.7,0,0,2221,72,3.2,25,9.1,49,2.2,0,0,25,1.1,4,1.5,1947,62,3.2
364,08095967600,"Census Tract 9676, Phillips County, Colorado",08095967600,PHILLIPS,3010,7.9,2959,746,284,9.6,198,0,0,548,23,4.2,746,22,3.2,102,3.4,14,1.9,24,0.8,0,0,2761,73,2.6,9,1.6,174,6.3,0,0,67,2.4,0,0,2213,72,3.3
365,08095967700,"Census Tract 9677, Phillips County, Colorado",08095967700,PHILLIPS,1317,4.3,1294,332,204,15.8,81,0,0,251,9,3.6,332,4,1.2,84,6.5,0,0,19,1.5,0,0,1213,59,4.9,9,3.6,105,8.7,0,0,48,4,0,0,962,61,6.3
366,08013013003,"Census Tract 130.03, Boulder County, Colorado",08013013003,BOULDER,6267,1324.9,6267,1564,517,8.2,262,0,0,1302,43,3.3,1564,31,2.1,122,1.9,0,0,70,1.1,0,0,6005,136,2.3,43,3.3,210,3.5,10,0.8,32,0.5,0,0,4703,161,3.4
367,08013013401,"Census Tract 134.01, Boulder County, Colorado",08013013401,BOULDER,3529,2892.6,3529,871,547,15.5,395,0,0,476,70,14.7,871,40,3.6,152,4.3,54,6.2,61,1.7,0,0,3134,259,8.3,0,0,287,9.2,70,14.7,106,3.4,27,5.7,2658,192,7.2
368,08013013503,"Census Tract 135.03, Boulder County, Colorado",08013013503,BOULDER,5735,7646.7,5735,1644,611,10.7,468,11,2.4,1176,83,7.1,1644,96,5.3,172,3,32,1.9,101,1.8,0,0,5267,307,5.8,54,4.6,267,5.1,8,0.7,64,1.2,23,2,4091,148,3.6
369,08013013006,"Census Tract 130.06, Boulder County, Colorado",08013013006,BOULDER,6030,4862.9,6006,1571,324,5.4,192,0,0,1379,42,3,1571,35,2.5,155,2.6,17,1.1,35,0.6,0,0,5814,77,1.3,25,1.8,122,2.1,0,0,40,0.7,0,0,4435,82,1.8
370,08013012203,"Census Tract 122.03, Boulder County, Colorado",08013012203,BOULDER,7067,2826.8,7051,781,666,9.4,49,0,0,732,40,5.5,781,32,3.7,219,3.1,0,0,173,2.5,0,0,7002,260,3.7,40,5.5,375,5.4,40,5.5,154,2.2,40,5.5,6270,244,3.9
371,08013013402,"Census Tract 134.02, Boulder County, Colorado",08013013402,BOULDER,7521,3450,7515,1677,769,10.2,489,0,0,1188,56,4.7,1677,86,5.4,222,3,0,0,86,1.1,0,0,7026,277,3.9,56,4.7,300,4.3,0,0,67,1,0,0,5838,175,3
372,08013013210,"Census Tract 132.10, Boulder County, Colorado",08013013210,BOULDER,5040,2333.3,5040,1195,653,13,412,7,1.7,783,0,0,1195,0,0,257,5.1,7,0.6,174,3.5,7,0.6,4628,247,5.3,0,0,353,7.6,0,0,227,4.9,0,0,3845,365,9.5
373,08013013302,"Census Tract 133.02, Boulder County, Colorado",08013013302,BOULDER,4682,3206.8,4682,739,574,12.3,173,0,0,566,0,0,739,0,0,266,5.7,0,0,30,0.6,0,0,4509,170,3.8,0,0,235,5.2,0,0,56,1.2,0,0,3943,133,3.4
374,08013013307,"Census Tract 133.07, Boulder County, Colorado",08013013307,BOULDER,3687,4916,3598,627,639,17.8,160,0,0,467,0,0,627,25,4,258,7.2,0,0,99,2.8,0,0,3438,262,7.6,0,0,328,9.5,0,0,164,4.8,0,0,2971,266,9
375,08013013308,"Census Tract 133.08, Boulder County, Colorado",08013013308,BOULDER,3509,4617.1,3438,658,556,16.2,207,0,0,451,8,1.8,658,5,0.9,203,5.9,0,0,193,5.6,0,0,3231,183,5.7,8,1.8,343,10.6,0,0,98,3,0,0,2780,173,6.2
376,08013012510,"Census Tract 125.10, Boulder County, Colorado",08013012510,BOULDER,4493,229.6,4493,855,262,5.8,85,0,0,770,9,1.2,855,9,1,83,1.8,0,0,30,0.7,9,1.1,4408,86,2,0,0,116,2.6,0,0,30,0.7,0,0,3638,99,2.7
377,08013012907,"Census Tract 129.07, Boulder County, Colorado",08013012907,BOULDER,3516,1400.8,3516,908,386,11,186,0,0,722,61,8.4,908,42,4.9,82,2.3,45,5,92,2.6,0,0,3330,147,4.4,16,2.2,112,3.4,0,0,56,1.7,16,2.2,2608,167,6.4
378,08013013305,"Census Tract 133.05, Boulder County, Colorado",08013013305,BOULDER,5222,6871.1,5222,1129,548,10.5,420,0,0,709,56,7.9,1129,18,1.7,174,3.3,0,0,81,1.6,0,0,4802,299,6.2,56,7.9,196,4.1,0,0,86,1.8,0,0,4093,121,3
379,08013060900,"Census Tract 609, Boulder County, Colorado",08013060900,BOULDER,4603,1549.8,4603,896,424,9.2,352,0,0,544,68,12.5,896,41,4.4,168,3.6,25,2.8,60,1.3,0,0,4251,190,4.5,56,10.3,144,3.4,0,0,37,0.9,0,0,3707,160,4.3
380,08013012509,"Census Tract 125.09, Boulder County, Colorado",08013012509,BOULDER,3393,4989.7,3368,834,334,9.9,225,0,0,609,15,2.5,834,17,2.3,83,2.5,0,0,111,3.3,7,0.8,3143,97,3.1,15,2.5,200,6.4,7,1.1,45,1.4,7,1.1,2534,181,7.1
381,08013013208,"Census Tract 132.08, Boulder County, Colorado",08013013208,BOULDER,5876,4700.8,5807,1236,782,13.5,262,0,0,974,51,5.2,1236,42,4,367,6.3,0,0,127,2.2,29,2.3,5545,192,3.5,39,4,591,10.7,17,1.7,195,3.5,17,1.7,4571,267,5.8
382,08013012701,"Census Tract 127.01, Boulder County, Colorado",08013012701,BOULDER,6049,335.5,5975,1225,241,4,413,0,0,812,0,0,1225,0,0,74,1.2,0,0,24,0.4,0,0,5562,129,2.3,0,0,45,0.8,0,0,46,0.8,0,0,4750,144,3
383,08013012507,"Census Tract 125.07, Boulder County, Colorado",08013012507,BOULDER,4462,7082.5,4457,434,204,4.6,165,0,0,269,29,10.8,434,12,2.9,73,1.6,0,0,40,0.9,0,0,4292,90,2.1,29,10.8,97,2.3,0,0,55,1.3,15,5.6,4023,69,1.7
384,08013012505,"Census Tract 125.05, Boulder County, Colorado",08013012505,BOULDER,3948,678.4,3948,812,215,5.4,218,0,0,594,18,3,812,16,2.1,111,2.8,0,0,19,0.5,0,0,3730,71,1.9,18,3,54,1.4,0,0,9,0.2,0,0,3136,43,1.4
385,08013013201,"Census Tract 132.01, Boulder County, Colorado",08013013201,BOULDER,1618,71.6,1602,295,157,9.8,38,0,0,257,0,0,295,0,0,76,4.7,0,0,14,0.9,0,0,1564,57,3.6,0,0,65,4.2,0,0,23,1.5,0,0,1307,43,3.3
